iter	Passed	Remaining
0	1	165
1	3	154
2	4	146
3	5	142
4	7	137
5	8	136
6	10	136
7	11	133
8	13	136
9	14	133
10	16	131
11	19	144
12	21	140
13	22	137
14	23	133
15	24	130
16	26	130
17	27	127
18	29	124
19	30	120
20	31	119
21	33	118
22	34	116
23	35	113
24	37	111
25	38	108
26	39	106
27	43	111
28	44	109
29	45	107
30	47	105
31	49	104
32	52	105
33	53	103
34	54	102
35	56	99
36	57	97
37	58	95
38	60	95
39	65	98
40	67	96
41	68	94
42	69	92
43	70	90
44	72	88
45	74	86
46	76	86
47	78	84
48	80	83
49	81	81
50	82	79
51	83	77
52	85	75
53	86	73
54	87	71
55	88	69
56	89	67
57	91	66
58	92	64
59	93	62
60	95	60
61	96	59
62	97	57
63	99	56
64	102	55
65	103	53
66	105	51
67	107	50
68	110	49
69	111	47
70	113	46
71	114	44
72	116	43
73	117	41
74	119	39
75	122	38
76	123	36
77	124	35
78	126	33
79	127	31
80	129	30
81	130	28
82	132	27
83	133	25
84	136	24
85	138	22
86	139	20
87	140	19
88	141	17
89	142	15
90	143	14
91	144	12
92	146	10
93	147	9
94	148	7
95	150	6
96	152	4
97	154	3
98	155	1
99	157	0
